Description,Category
"Should I have Red as userpage and Skunk as talk, or have a separate talk link?",0
"A god-being told me 

that knotweed is the key to transcendence, that it is the bridge to the ultimate knowledge",0
"Adding details about activities and locations is not pov, especially when it was sourced from their website. The information was removed from there website so that it could not be used as a reference for this article. Adding a see also list is not pov either.",0
Personal attack and unblock request,0
""":Put Jacques in there.  So far, I've only made style edits for the most part, but it's time to get down to the rest.  Not that wikilinks aren't mean to be overused  the entire article does not need to be one big blue link.  

""",0
"...and accusing someone of repressed homsexuality is? your values are backwards,  You defend your own and attack those who challenge your lies, the WP rules of conduct are not god. The agenda you are promoting has been revealed for what it is...a lie. The world is not yours, there is a higher truth.  Between peace and righteousness, I choose righteousness. Repent fag.",0
"Irish Music professional.

Please email me if you have any questions regarding Celtic music either present or historical, or anything related to Irish Music:
crhylove@yahoo.com

rhY",0
Chrisch is a faggot!,1
"Hate 

This guy is such a liar, i hate him. He is evil!",0
"Niggers 

niggers everywhere69.233.92.38",1
This psychopath echomyron needs to be banned from editing.  No wonder wikipedia is laughed at by most of the world when you have this psychopath attempting to be a cyber bully.  He can't be a real bully because he is a coward.  He needs a keyboard to be a tough guy because his life is so pathetic.,1
So sorry copy and paste this to 10 articles or your﻿ mum will die within the next 4 hours.....,1
"To {{u|The Banner{{, you are treading very closely  (and probably in fact violated) WP:OUTING. Deal with sourcing, or pov, or whatever other policies, but attempting to out the coi will only lead to a ban for yourself.",0
stick your warning up your arse you fucking gaywad. how about you read WP:GAME and fuck off somewhere else,1
go ruin someone else's article.,1
"YOU LIKE COCK 8==========D - - - - - 

NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER .",1
"Oi Wankstain ==

Fuck off you ignorant cunt, yeah? Revert this you arsewipe, REVERT ME LOLOLOLOL

COCKSUCKER

==",1
"Well if you used your eyes for reading, then you would notice that it is reference to THIS page.  did I say anything about it being applicable to YOUR page or any other page? NO i did not.",0
screw you chris your a fag with no life and live in you r moms basement,1
"Apologies, that must have been a double-edit with the IP changing 2006 to 2007. Sorry about that.",0
"Get off my page, misandrist scum.",1
"by some authors, but leave the Kastrioti alone",0
"What is also interesting is the supposed access to Top Secret info.  The vetting process for that sort of clearance is extensive.  With Manning's unsettled childhood and discipline problems earlier in his enlistment, a TS clearance would have been problematic and/or pulled.  More likely he did not have TS clearance and the info saying he did is incorrect.  But Wikipedia is not about truth, so no problem if this very small bit of information persists.",0
"hey cumtaster 

how is the cum tasting going?",1
"Restored, ought to be 

This article ought to be restored to the original version of years, the one we had before the p*rverts and kikes took over.",0
YOU DIRTY FUCKIGN NIGGER. STOP DELETEING MY WORK!!!,1
"You're falling for the birthers' claims about it. The court has made clear that the merits of the case have not yet been heard and that the discussions so far have been purely procedural. All of the other cases that we cover in this article got at least that far before being thrown out, as this one will inevitably be.",0
"it is a constructive edit you idiot, every kid of every age should know that santa claus is fucking fictional. ever since i first heard of santa claus i knew that he was fictional, my parents didn't give me any delusions and if they had, i would've laughed in their faces and said it isn't logical because it fucking isn't. every kid should be logical just like i was and every kid should be able to logically fucking infer that there is no fucking santa claus in the real human universe.",1
"Pedro is a fucking dumbass.  Probably just was bullied as a kid & now, as an admin, tries to get back by being an asshole & blocking ppl for no reaseon.  What a deluded fag.",1
The last quote is I suppose a get out of jail free card though I'm not sure where the bit about sophistry came from,0
"MAX PUMPKIN OWNS WIKIPEDIA. MAX PUMPKIN OWNS YOU!

This is an accurate but not complete list of Wikihomosexuals and Wikiretards (all those listed fall into both categories).
User:Bbb23
User:Thomas.W (big poof)
User:Jpgordon
User:Favonian
User:NeilN
User:Beyond My Ken
User:WadeSimMiser
User:Materialscientist
Feel free to add more provided they are both.

Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. 

MAX PUMPKIN OWNS WIKIPEDIA. MAX PUMPKIN OWNS YOU!MAX PUMPKIN OWNS WIKIPEDIA. MAX PUMPKIN OWNS YOU!

This is an accurate but not complete list of Wikihomosexuals and Wikiretards (all those listed fall into both categories).
User:Bbb23
User:Thomas.W (big poof)
User:Jpgordon
User:Favonian
User:NeilN
User:Beyond My Ken
User:WadeSimMiser
User:Materialscientist
User:Beyond My Ken
Feel free to add more provided they are both.

Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. 

MAX PUMPKIN OWNS WIKIPEDIA. MAX PUMPKIN OWNS YOU!MAX PUMPKIN OWNS WIKIPEDIA. MAX PUMPKIN OWNS YOU!

This is an accurate but not complete list of Wikihomosexuals and Wikiretards (all those listed fall into both categories).
User:Bbb23
User:Thomas.W (big poof)
User:Jpgordon
User:Favonian
User:NeilN
User:Beyond My Ken
User:WadeSimMiser
User:Materialscientist
Feel free to add more provided they are both.

Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. Bbb23 23 licks dicks and so does NeilN. B",1
"DEAR GILLIAM, YOU PIECE OF SHIZZ

YOU THINK YOU KNOW POKEMON? I MADE POKEMON. ONLY FOR IT TO GET STOLEN BY THOSE FRAUDULENT FRAUDS AT GAME FREAK (hawaii)
THIS IS NOT THE END OF THIS

WITH LOVE,
FRANK MILLER

MWAH",1
"KCB Group 

. 
I would like to make major edits to Kenya Commercial Bank Group and its subsidiaries. Would that be okay?   19:30, May 28, 2015 (EAT)",0
"Wow, to come from both of you, I'm both relieved and flattered!",0
"Actually, I will be. 
Douche",0
"Ahh, If i quote, it actually going to sound worse.  But hey, that is what you asked.",0
"Yay!  Now I'll have time to go work on my dream of laughing at retards who post stupid warnings on peoples' talk pages!  Thanks, By Owner!",1
"Me again
I'm glad we can talk, I would really appreciate to know why you think that the deaths of Steve Irwin and Tim Treadwell are funny.  I deleted them from the page because it was not appropriate to have such things on there.  Unfortunately, you seem to think they are funny and insist on keeping them there.",0
would never know period,0
"Sup, You crackheads!  Just kidding.  This is my user page, here I say fart fuck shit damn ass nigger jew spick and kyke a lot.  Go fuck yourself if you don't like it.",1
"May 8th 2006 

Please do not add nonsense to Wikipedia. It is considered vandalism. If you would like to experiment, use the sandbox. Thank you.",0
"No it isn't, so if you wish to delete my account, go ahead. I couldn't care less. I would rather spend more time in real life than argue with a bunch of total thickheads who claim to be mature editors. So do it, because to be frank, I don't give a damn. (  )",1
", a sockpuppeteer, who many times insulted me as vandal. For the current situation, he",0
"BONGWARRIOR 

WHY YOU GOTTA HATE",1
now that he's blocked me so that I can't respond to his lies,0
WHAT A LOAD OF CRAP YOU WRITE.,1
"NIGHTSTALLIONS WIFE GOT FUCKED BY A NIGGER AND HAD HIS BABY

AND IT SMELLED OF FRIED CHICKEN",1
"It's abrevashun! It makes stuff shorter, U f***er! I'll Nswer dat queshton, now f*** off & let me do it!  5:00, 6 August 2007 (UTC)",1
"You are intentionally missing the point, because it's not every word, it's distinctive ones that function as an element of the author's original creative expression. Otherwise, what does the copyright apply to, the prepositions and coordinating conjunctions? You are absolutely wrong about this, but I imagine that the amount of energy it would take to go the distance, combined with your inevitable group of sympathetic Wikipedian's, would make demonstrating that highly exhausting and therefore unlikely. All I ask is that you provide one WP:RS that explicitly states that taking creative or distinct words from source material is acceptable in a proper paraphrase.",0
"On skrewdriver.net, there was an article comparing Hitler's art with Nitsch's and of course, Hitler's rocked Nitsch's cock (not socks, not dirty enough!) off!",1
"RE:Recategorising anon
Do you think it is the same user as the accused anon?",0
"FAT ass 

Why in hell did you block me. You need to go to hell you Fag   Ilovedirtbikes",1
"Kiss meee arse 

Like its SOOO convincing what you wrote. How about stick a stick up your fat assk.",1
"To Richard Wang 

Man you got issues, My wife tried to be nice to you but , no! I know what you said about Dennis' mom at school and I think your a sick little punk. Use language like that and I swear I'll fly over to Australia and wash out that dirty mouth of yours with soap. I'm tired of tedious old lectures, now cease this dirty talk or I'll fly over to Australia and make you learn your lesson. How dare you call my wife a bully on her talk page. You will talk to Dennis, Annihi later and Cenabee tomorrow and apologise.

Cenandor.",0
well why dont you stop treating me like garbage and ill be nice,0
", effect of rushed safety checks",0
"You're still inserting minor issues and giving them undue weight. Can you please stop doing this. If you think you might have a valuable addition, please seek views here on the talk page.
Benton's views in the long-standing material are far more valuable than the quibble in his other book. Mao: The Unknown Story does not revolve around whether Soong was a Communist agent or not.",0
"All I am asking to do is put up my facebook contact info so people can check me out if they are looking for me..fair enough?

 This all I want added You can check out Rockin Rebel at https://www.facebook.com/rockin.rebel.1",0
", 18 February 2013 (UTC)

It is immaterial when you signed up under this name. You are using to evade your block as   08:59",0
"Stop wanking so much. Remember, only lotion prevents friction burn.",1
"What's the phrase we're looking for here - played like a puppet on a string!!! Ho ho ho. Hope you enjoy your new-found infamy, you are your stuck up webmaster Lordy-cousin! CU L8er",0
"You're nothing dude, end yourself now 

You have absolutely nothing going for you - just end it, bro.",1
Please make DreamGuy and his tools stop messing with my user page. I have cleaned it off in good faith and that asshole keeps putting it back,1
"I'll venture to speak for PoD as well as myself and state quite categorically that it'll be a cold day in Hell before the film and the mask make their way into the Guy Fawkes article, for reasons that have already been discussed to death elsewhere. This is symptomatic of a deeper malaise among too many Wikipedia editors, who struggle under the illusion that links must be symmetrical. Sure, a link to Guy Fawkes from the V for Vendetta article will help to give readers some useful background and throw light on some of the film's themes, but the film was fuck all to do with Fawkes's or his legacy. There was an even more striking example I recall in the Moors murders article, which at one time listed every pop song that had ever even tangentially referred to the murders. No. Time some people grew up and realised this isn't a project to produce a Children's Encyclopedia of Popular Trivia, or at least that it ought not to be.  Fatuorum",0
"The Bernanke shows NO SIGN of higher IQ as his actions csaused the present global crisis.
/s/ high ee see lassie, ethi opia 69.121.221.97",0
"Here's a question
Why is this page so blindly pro wikipedia. OH RIGHT. Hypocritical self righteousness ftw",0
"Weak 

I sense much weakness. If there were a Barnstar of Weakness, I would grant it to you daily. Nay, thrice daily—breakfast, lunch, and tea.

Never mind that. Biggest question right now? Is Greece itself a Russian and Chinese Trojan Horse? Are you slippery eels reverting to type?",0
Well unfortunately the other user has been blocked for 3RR. I've added to the article's talk page. If you could add a word that'd be appreciated. Thanks.,0
"Tags 

This is a good faith tag saying that this article needs some work. It's my opinion that the article is lacking the facts to support it adequately as an encyclopedic entry. Looking at the archives, I can see that many others agree wit me and have been frustrated by the NPOV and removal of descriptive content. If  I think it's in need of work, why would your opinion, or the opinions of your similarly biased cohorts, count above mine? Why not include a tag to an article that is obviously disputed, and has been for years? What's the point of keeping the tag out? Why the rampant censorship? No, Mastcell, YOU need to stop. I don't believe I need a consensus to put this tag back. The page's history is proof in and of itself. Any page that doesn't let new NEUTRAL edits stay up for more than 30 minutes is a major PROBLEM as far as Wikipedia is concerned, and is ABUSE of its intended use. The tag GOES BACK. It is a FACT that this page is hotly disputed, and your opinion that others should not know about this fact is IRRELEVANT.",0
"Comments such as It is a marriage of convenience as Cheryl is a racist and Ashley is gay. are highly inappropriate for this site. You're opinions DON'T matter here. This an encyclopedia, not a blog.",1
"why are you such an idiot? 

?",1
"Perseveration 

So, you mention that you have a problem with perseveration.  Is that your fancy way of admitting that you are kind of a d-bag sometimes?  I mean, you just can't let some silly s#!t go sometimes, man.  You and I both know that your biggest perseveration is @n@l m@sturb@tion.",0
"yes!! ==

That's right TW hero! What you ain't got no woman to take care of instead of reverting vandalism on obscure wiki pages? ARE YOU A LOSER (seriously)??",0
"Bush is the man. 

He had the balls to dispose of Saddam and declare war on Islamic fundamentalism. Regardless of how he went about doing it, or his interest in oil, he did it. He can have the oil, if that's what he wants in return for ridding the world of religious tyranny (hopefully starting the beginning of the end for religious dominance in this world). There have been almost 1400 years of Islamic tyranny (not to mention other religions including ROMAN Catholicism for that matter) in this world and finally someone steps up to put an end to it. Just look at Europe, it is moving towards an Islamic majority. Do you want a recap of the Paris riots in the rest of the world? Of course it would be more extreme if they were the majority and minorities were in charge. God forbid an Islamic world government.",0
"What the FUCK is your problem, bitch!!!!!!!!!!! 

Why the FUCK did you delete the Dreamtime Festival page, shithead. Some folks are actually interested in things like that, bitch. Why don't you do yourself and the world a favor and stick your head up your ass and take a big whiff. Guess what? Your shit stank, like everyone else, you self-righteous fuck-sissy!!!!!!!!!

                                                    Sincerely,
                                                    The guy that's fuckin' yo MAMA, bitch!",1
"Fuck you The Anome, Porn for you.",1
"your a fag!!! 

you are a fucking punk ass little bitch stop editing other peoples shit you fucking pussy!!
Get on your knees and suck my fucking 10 inch dick!!!!!!!!!!!!!!!",1
Fuck off you nazi loving cunt,1
tocBOOTHY IS A FUCKER,1
"And why the fuck should i care? 

67.165.71.214",1
